Network;admissibility_3;avg_degree;degen_lower;degen_upper;max_degree;memory;memoryLoad;min_degree;num_edges;num_vertices
AS-oregon-1;=35;=4.189905166625977;=17;=17;=2389;=40762.855;=1560.3604;=2389;=23409;=11174
AS-oregon-2;=62;=5.711543560028076;=31;=31;=2432;=39615.434;=1641.6514;=2432;=32730;=11461
BioGrid-Affinity-Capture-Luminescence;=9;=2.5130434036254883;=6;=6;=376;=2506.1855;=444.6709;=376;=2312;=1840
BioGrid-Affinity-Capture-Ms;=202;=15.89761734008789;=58;=58;=2217;=1370285.5;=9173.538;=2217;=321887;=40495
BioGrid-Affinity-Capture-Rna;=75;=6.220849990844727;=54;=54;=3572;=189495.3;=1837.2695;=3572;=42815;=13765
BioGrid-Affinity-Capture-Western;=82;=6.09149694442749;=17;=17;=535;=149915.3;=3158.288;=535;=64046;=21028
BioGrid-Arabidopsis-Thaliana-Columbia;=68;=9.199577331542969;=26;=26;=1341;=101406.99;=1845.251;=1341;=47916;=10417
BioGrid-Biochemical-Activity;=36;=4.117401599884033;=11;=11;=427;=26182.39;=1572.1504;=427;=17746;=8620
BioGrid-Bos-Taurus;=4;=1.867841362953186;=3;=3;=27;=448.63965;=170.16602;=27;=424;=454
BioGrid-Caenorhabditis-Elegans;=73;=7.396308898925781;=64;=64;=522;=47641.14;=978.1289;=522;=23646;=6394
BioGrid-Candida-Albicans-Sc5314;=9;=2.8706512451171875;=9;=9;=427;=1344.168;=265.1123;=427;=1609;=1121
BioGrid-Canis-Familiaris;=2;=1.7482517957687378;=2;=2;=90;=104.80078;=104.80078;=90;=125;=143
BioGrid-Chemicals;=1;=1.6889917850494385;=1;=1;=413;=28898.037;=5448.6953;=413;=28093;=33266
BioGrid-Co-Crystal-Structure;=5;=1.7642951011657715;=5;=5;=92;=1964.5596;=432.18945;=92;=2021;=2291
BioGrid-Co-Fractionation;=83;=10.230371475219727;=83;=83;=187;=115167.0;=1978.332;=187;=56354;=11017
BioGrid-Co-Localization;=13;=2.513124465942383;=6;=6;=63;=4304.0586;=442.7705;=63;=4452;=3543
BioGrid-Co-Purification;=12;=2.7600555419921875;=12;=12;=1972;=6754.9297;=807.53613;=1972;=5970;=4326
BioGrid-Cricetulus-Griseus;=1;=1.6521738767623901;=1;=1;=30;=93.15039;=93.15039;=30;=57;=69
BioGrid-Danio-Rerio;=3;=2.0383141040802;=3;=3;=61;=228.53516;=126.53418;=61;=266;=261
BioGrid-Dictyostelium-Discoideum-Ax4;=1;=1.4814814329147339;=1;=1;=4;=85.19531;=85.19531;=4;=20;=27
BioGrid-Dosage-Growth-Defect;=10;=3.0310988426208496;=5;=5;=213;=1460.4814;=261.3672;=213;=2193;=1447
BioGrid-Dosage-Lethality;=9;=2.577702760696411;=4;=4;=392;=2111.0479;=261.38477;=392;=2289;=1776
BioGrid-Dosage-Rescue;=18;=3.8130178451538086;=7;=7;=75;=6807.6934;=452.9834;=75;=6444;=3380
BioGrid-Drosophila-Melanogaster;=104;=12.980921745300293;=83;=83;=303;=216429.63;=2003.165;=303;=60556;=9330
BioGrid-Emericella-Nidulans-Fgsc-A4;=2;=1.9375;=2;=2;=44;=93.74902;=93.74902;=44;=62;=64
BioGrid-Escherichia-Coli-K12-Mg1655;=13;=2.967792510986328;=5;=5;=58;=1891.6484;=261.97168;=58;=1889;=1273
BioGrid-Escherichia-Coli-K12-W3110;=305;=89.40191650390625;=131;=133;=1187;=844029.44;=3859.3633;=1187;=181620;=4063
BioGrid-Far-Western;=3;=1.8165137767791748;=3;=3;=60;=1069.8086;=257.9209;=60;=1089;=1199
BioGrid-Fret;=24;=2.8176469802856445;=19;=19;=51;=1585.876;=259.05664;=51;=2395;=1700
BioGrid-Gallus-Gallus;=5;=2.111380100250244;=4;=4;=110;=341.7793;=126.45801;=110;=436;=413
BioGrid-Glycine-Max;=2;=1.7727272510528564;=2;=2;=13;=87.78027;=87.78027;=13;=39;=44
BioGrid-Hepatitus-C-Virus;=1;=1.970588207244873;=1;=1;=133;=104.78223;=104.78223;=133;=134;=136
BioGrid-Homo-Sapiens;=280;=30.69497299194336;=71;=71;=2882;=1912700.8;=9625.34;=2882;=369767;=24093
BioGrid-Human-Herpesvirus-1;=3;=2.33707857131958;=3;=3;=40;=148.11328;=104.94043;=40;=208;=178
BioGrid-Human-Herpesvirus-4;=2;=2.01857590675354;=2;=2;=154;=196.76172;=126.87402;=154;=326;=323
BioGrid-Human-Herpesvirus-5;=1;=1.7685950994491577;=1;=1;=27;=104.64746;=104.64746;=27;=107;=121
BioGrid-Human-Herpesvirus-8;=3;=1.930167555809021;=3;=3;=119;=591.0547;=171.19043;=119;=691;=716
BioGrid-Human-Immunodeficiency-Virus-1;=7;=2.3181018829345703;=3;=3;=324;=1334.6006;=263.4795;=324;=1319;=1138
BioGrid-Human-Immunodeficiency-Virus-2;=1;=1.5789474248886108;=1;=1;=6;=85.353516;=85.353516;=6;=15;=19
BioGrid-Human-Papillomavirus-16;=2;=2.1502890586853027;=2;=2;=93;=119.41016;=105.112305;=93;=186;=173
CoW-interstate;=7;=3.5054945945739746;=4;=4;=25;=233.53027;=103.98242;=25;=319;=182
DNC-emails;=29;=4.698821067810059;=17;=17;=402;=5430.124;=470.30078;=402;=4384;=1866
EU-email-core;=81;=32.58417892456055;=34;=34;=345;=30198.748;=454.92676;=345;=16064;=986
JDK_dependency;=78;=16.679515838623047;=65;=65;=5923;=143763.58;=1408.4297;=5923;=53658;=6434
JUNG-javax;=78;=16.434640884399414;=65;=65;=5655;=136808.73;=1355.5352;=5655;=50290;=6120
NYClimateMarch2014;=190;=6.389654159545898;=34;=34;=14687;=1435609.4;=13919.422;=14687;=327080;=102378
NZ_legal;=75;=14.702475547790527;=25;=25;=429;=34371.58;=567.69727;=429;=15739;=2141
Noordin-terror-loc;=4;=2.992125988006592;=3;=3;=18;=162.62402;=105.06836;=18;=190;=127
Noordin-terror-orgas;=4;=2.806201457977295;=3;=3;=21;=152.04785;=104.875;=21;=181;=129
Noordin-terror-relation;=11;=7.171428680419922;=11;=11;=28;=126.91016;=93.80762;=28;=251;=70
ODLIS;=50;=11.294483184814453;=12;=12;=592;=30782.693;=590.2373;=592;=16377;=2900
Opsahl-forum;=46;=15.652947425842285;=14;=14;=128;=13445.685;=348.21094;=128;=7036;=899
Opsahl-socnet;=67;=14.573986053466797;=20;=20;=255;=30301.162;=600.0654;=255;=13838;=1899
StackOverflow-tags;=6;=4.26086950302124;=6;=6;=16;=169.68652;=105.83008;=16;=245;=115
Y2H_union;=10;=2.7517802715301514;=4;=4;=89;=2913.0723;=422.90918;=89;=2705;=1966
Yeast;=27;=6.083862781524658;=6;=6;=66;=10243.365;=481.19336;=66;=7182;=2361
advogato;=95;=15.2415132522583;=25;=25;=803;=96873.734;=1196.7285;=803;=39285;=5155
airlines;=20;=11.038297653198242;=13;=13;=130;=884.16895;=138.92969;=130;=1297;=235
american_revolution;=3;=2.269503593444824;=3;=3;=59;=121.80469;=104.97168;=59;=160;=141
as-22july06;=52;=4.2186126708984375;=25;=25;=2390;=112920.53;=3126.6885;=2390;=48436;=22963
as20000102;=25;=3.883843183517456;=12;=12;=1458;=17349.559;=826.0215;=1458;=12572;=6474
autobahn;=3;=2.55614972114563;=2;=2;=5;=356.90723;=126.44922;=5;=478;=374
bahamas;=10;=2.240475654602051;=6;=6;=14902;=307118.38;=22365.824;=14902;=246291;=219856
bergen;=12;=10.264150619506836;=9;=9;=32;=122.956055;=90.71289;=32;=272;=53
bitcoin-otc-negative;=22;=4.058530330657959;=16;=16;=227;=3781.8877;=270.07227;=227;=3259;=1606
bitcoin-otc-positive;=60;=6.671810626983643;=20;=20;=788;=39719.26;=889.2129;=788;=18591;=5573
bn-fly-drosophila_medulla_1;=51;=10.00673770904541;=18;=18;=927;=16712.61;=360.0752;=927;=8911;=1781
bn-mouse_retina_1;=237;=168.79368591308594;=121;=121;=744;=89188.93;=1957.3701;=744;=90811;=1076
boards_gender_1m;=25;=9.67247200012207;=25;=25;=88;=17496.492;=951.6582;=88;=19993;=4134
boards_gender_2m;=10;=2.653080463409424;=4;=4;=45;=6968.333;=809.3535;=45;=5598;=4220
ca-CondMat;=51;=8.078415870666504;=25;=25;=279;=149854.64;=3535.2363;=279;=93439;=23133
ca-GrQc;=43;=5.527189254760742;=43;=43;=81;=12466.512;=872.35254;=81;=14484;=5241
ca-HepPh;=238;=19.738298416137695;=131;=135;=491;=282028.38;=2995.7695;=491;=118489;=12006
capitalist;=23;=15.410072326660156;=19;=19;=91;=692.5498;=114.33008;=91;=1071;=139
celegans;=24;=14.464646339416504;=10;=10;=134;=2326.1885;=146.07031;=134;=2148;=297
chess;=102;=15.31269645690918;=29;=29;=181;=176902.05;=2210.335;=181;=55899;=7301
chicago;=1;=1.7695977687835693;=1;=1;=12;=1166.2188;=259.70996;=12;=1298;=1467
cit-HepPh;=140;=24.366178512573242;=30;=30;=846;=1503189.5;=10494.325;=846;=420877;=34546
cit-HepTh;=178;=25.37253761291504;=37;=37;=2468;=1292275.4;=7699.704;=2468;=352285;=27769
codeminer;=6;=2.8038673400878906;=4;=4;=55;=853.0293;=171.25488;=55;=1015;=724
columbia-mobility;=11;=9.610660552978516;=9;=9;=228;=3046.4824;=210.83691;=228;=4147;=863
columbia-social;=20;=17.900346755981445;=18;=18;=545;=6094.6523;=267.3584;=545;=7724;=863
cora_citation;=48;=7.697228908538818;=13;=13;=377;=130906.664;=3480.087;=377;=89157;=23166
cpan-authors;=18;=5.034564971923828;=9;=9;=327;=967.66113;=183.91797;=327;=2112;=839
digg;=79;=5.678794860839844;=8;=8;=285;=255362.61;=6487.633;=285;=86312;=30398
diseasome;=11;=3.859055757522583;=11;=11;=84;=2088.5566;=266.52832;=84;=2738;=1419
dolphins;=7;=5.129032135009766;=4;=4;=12;=118.3291;=94.32031;=12;=159;=62
dutch-textiles;=5;=3.75;=5;=5;=31;=88.2207;=88.2207;=31;=90;=48
ecoli-transcript;=5;=2.732860565185547;=3;=3;=74;=388.06348;=127.09766;=74;=578;=423
edinburgh_associative_thesaurus;=203;=25.686840057373047;=34;=34;=1062;=1978273.1;=6779.913;=1062;=297094;=23132
email-Enron;=169;=10.020222663879395;=43;=43;=1383;=545439.9;=7480.283;=1383;=183831;=36692
escorts;=52;=4.667543411254883;=11;=11;=305;=83032.95;=3207.6084;=305;=39044;=16730
euroroad;=3;=2.4139692783355713;=2;=2;=10;=1226.5479;=258.28516;=10;=1417;=1174
eva-corporate;=4;=1.8505445718765259;=3;=3;=552;=8205.971;=1431.7021;=552;=6711;=7253
exnet-water;=3;=2.5525619983673096;=2;=2;=10;=2101.043;=432.8994;=10;=2416;=1893
foldoc;=69;=13.697364807128906;=12;=12;=728;=164843.34;=2506.3691;=728;=91471;=13356
foodweb-caribbean;=26;=13.467479705810547;=13;=13;=196;=1554.8848;=200.96582;=196;=3313;=492
foodweb-otago;=23;=11.80141830444336;=14;=14;=45;=567.68164;=112.368164;=45;=832;=141
football;=11;=10.660869598388672;=8;=8;=12;=550.04004;=107.46484;=12;=613;=115
google+;=42;=3.317589282989502;=12;=12;=2761;=59674.402;=3099.1064;=2761;=39194;=23628
haggle;=40;=15.503649711608887;=39;=39;=101;=2137.1553;=147.77148;=101;=2124;=274
hex;=5;=5.619335174560547;=3;=3;=6;=664.8633;=129.62012;=6;=930;=331
hypertext_2009;=43;=38.86725616455078;=28;=28;=98;=900.4951;=131.73242;=98;=2196;=113
ia-email-univ;=29;=9.622241973876953;=11;=11;=71;=8944.701;=292.60254;=71;=5451;=1133
ia-infect-dublin;=22;=13.487804412841797;=17;=17;=50;=2536.0986;=156.53125;=50;=2765;=410
ia-reality;=16;=2.255837917327881;=5;=5;=261;=10401.569;=802.7793;=261;=7680;=6809
infectious;=22;=13.487804412841797;=17;=17;=50;=2489.4287;=156.50977;=50;=2765;=410
ingredients;=476;=197.46295166015625;=133;=136;=3426;=699530.25;=10230.078;=3426;=431654;=4372
iscas89-s1196;=5;=2.848806381225586;=2;=2;=16;=437.31445;=127.27051;=16;=537;=377
iscas89-s1238;=5;=3.004807710647583;=2;=2;=18;=491.35352;=127.44629;=18;=625;=416
iscas89-s13207;=6;=2.7335474491119385;=4;=4;=37;=2632.0107;=440.1836;=37;=3406;=2492
iscas89-s1423;=3;=2.619385242462158;=2;=2;=17;=383.11914;=126.7041;=17;=554;=423
iscas89-s1488;=7;=3.3650107383728027;=3;=3;=53;=621.4863;=173.87207;=53;=779;=463
iscas89-s1494;=7;=3.365750551223755;=3;=3;=56;=681.18164;=173.87207;=56;=796;=473
iscas89-s15850;=5;=2.4662766456604004;=4;=4;=25;=2907.917;=418.1836;=25;=4004;=3247
iscas89-s27;=1;=1.7777777910232544;=1;=1;=3;=83.93262;=83.93262;=3;=8;=9
iscas89-s298;=3;=2.8478260040283203;=2;=2;=11;=93.796875;=93.796875;=11;=131;=92
iscas89-s344;=3;=2.440000057220459;=2;=2;=9;=93.02344;=93.02344;=9;=122;=100
iscas89-s349;=3;=2.4901959896087646;=2;=2;=9;=94.82129;=93.62109;=9;=127;=102
iscas89-s35932;=2;=2.550699234008789;=2;=2;=1440;=10679.819;=1496.4531;=1440;=15961;=12515
iscas89-s382;=4;=2.8965516090393066;=2;=2;=18;=131.50098;=104.890625;=18;=168;=116
iscas89-s38417;=6;=2.2389473915100098;=4;=4;=39;=9863.206;=1488.1719;=39;=10635;=9500
iscas89-s38584;=7;=2.735342025756836;=4;=4;=54;=11161.675;=1502.8008;=54;=12573;=9193
iscas89-s386;=4;=3.5087718963623047;=3;=3;=23;=157.0166;=105.47656;=23;=200;=114
